Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlPrice,SellersInControlPrice,Entry,Defence,Stop,Target,Actual_100%_dis,Predicted_100%_dis,Actual_Ideal_Target,Predicted_Ideal_Target,Actual_Profit,Actual_ideal_profit,PIT_Profit_100,PIT_D_Profit_100,PIT_Loss_100,PIT_Defence_Target_100,PIT_Profit_Timestamp_100,PIT_D_Profit_Timestamp_100,PIT_Loss_Timestamp_100,Actual_Loss,PIT_Profit_Duration,PIT_D_Profit_Duration,PIT_Loss_Duration
6/2/2024 17:20,5363.75,5363.75,5363.75,5363.75,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,5363.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:05,5364,5368.75,5357,5357,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,0,5357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:10,5357.25,5357.5,5354.75,5356.5,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,0,5356.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:15,5356.75,5359.25,5356.25,5359,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:20,5359.25,5364.25,5359,5363.75,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,5363.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:25,5364,5364.25,5362.75,5364,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:30,5364.25,5366.25,5363,5363,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,0,5363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:35,5363,5363.75,5361,5362.5,5296.5,5287.75,5284.5,5281.5,5281,5281.5,5283.5,5286.75,5289,5292.25,0,5362.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:40,5362.25,5362.5,5360.5,5361.25,5362.5,5296.5,5287.75,5284.5,5281.5,5281.5,5283.5,5286.75,5289,5292.25,0,5361.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:45,5361,5361.25,5359.75,5360,5361.25,5296.5,5287.75,5284.5,5281.5,5281.5,5283.5,5286.75,5289,5292.25,0,5360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:50,5360.25,5361.25,5359.75,5361,5361.25,5296.5,5287.75,5284.5,5281.5,5281.5,5283.5,5286.75,5289,5292.25,5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
6/2/2024 18:55,5361,5362,5360,5360.5,5361.25,5296.5,5287.75,5284.5,5281.5,5281.5,5283.5,5286.75,5289,5292.25,0,5360.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
